Class;Order;Family;Species;Species;;;Female;;;Male;;;Undetermined;;
;;;;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n
Aves;Apodiformes;Trochilidae;Phaethornis griseogularis;3;0;5;3;0;3;2;0;1;3;0;1
Aves;Apodiformes;Trochilidae;Phaethornis ruber;2;0;5;2;0;1;2;0;2;2;1;2
Aves;Apodiformes;Trochilidae;Phaethornis augusti;3;0;1;3;0;1;;;;;;
Aves;Apodiformes;Trochilidae;Phaethornis anthophilus;5;1;114;5;0;12;5;0;23;5;1;79
Aves;Apodiformes;Trochilidae;Phaethornis hispidus;5;1;33;5;0;9;5;1;8;5;1;16
Aves;Apodiformes;Trochilidae;Phaethornis yaruqui;6;0;222;6;0;7;6;0;4;6;0;211
Aves;Apodiformes;Trochilidae;Phaethornis guy;5;1;77;5;1;26;5;1;17;5;1;34
Aves;Apodiformes;Trochilidae;Phaethornis syrmatophorus;6;0;377;6;1;18;6;1;22;6;0;337
Aves;Apodiformes;Trochilidae;Phaethornis bourcieri;4;0;20;4;0;4;4;0;6;4;0;10
Aves;Apodiformes;Trochilidae;Phaethornis longirostris;6;1;234;6;0;22;6;1;18;7;1;194
Aves;Apodiformes;Trochilidae;Phaethornis superciliosus;6;0;4;;;;6;0;2;6;0;2
Aves;Apodiformes;Trochilidae;Phaethornis malaris;6;1;20;5;1;7;6;0;5;6;1;8
Aves;Apodiformes;Trochilidae;Doryfera ludovicae;6;1;74;5;1;19;6;1;26;6;0;29
Aves;Apodiformes;Trochilidae;Doryfera johannae;4;0;9;4;0;2;4;0;5;4;0;2
Aves;Apodiformes;Trochilidae;Schistes geoffroyi;4;0;32;4;0;16;3;0;11;4;0;5
Aves;Apodiformes;Trochilidae;Colibri delphinae;6;1;9;6;0;1;;;;6;1;8
Aves;Apodiformes;Trochilidae;Colibri cyanotus;5;1;41;4;0;14;5;0;7;5;0;20
Aves;Apodiformes;Trochilidae;Colibri coruscans;7;1;63;6;1;9;8;1;33;7;2;21
Aves;Apodiformes;Trochilidae;Androdon aequatorialis;8;1;69;8;1;20;8;1;29;8;1;20
Aves;Apodiformes;Trochilidae;Heliothryx barroti;5;0;6;5;0;2;5;0;4;;;
Aves;Apodiformes;Trochilidae;Heliothryx auritus;5;0;1;5;0;1;;;;;;
Aves;Apodiformes;Trochilidae;Polytmus guainumbi;4;1;15;4;0;6;5;0;6;5;1;3
Aves;Apodiformes;Trochilidae;Polytmus theresiae;4;0;12;3;0;2;4;0;10;;;
Aves;Apodiformes;Trochilidae;Chrysolampis mosquitus;4;0;14;4;1;5;4;0;9;;;
Aves;Apodiformes;Trochilidae;Anthracothorax nigricollis;7;1;37;7;1;13;7;1;20;6;1;4
Aves;Apodiformes;Trochilidae;Heliangelus amethysticollis;5;1;42;5;1;16;6;0;22;5;0;4
Aves;Apodiformes;Trochilidae;Heliangelus exortis;16;19;128;6;7;25;14;18;72;28;21;31
Aves;Apodiformes;Trochilidae;Discosura longicaudus;3;0;1;;;;3;0;1;;;
Aves;Apodiformes;Trochilidae;Phlogophilus hemileucurus;3;0;1;3;0;1;;;;;;
Aves;Apodiformes;Trochilidae;Adelomyia melanogenys;5;1;357;4;1;28;4;1;48;5;1;281
Aves;Apodiformes;Trochilidae;Aglaiocercus kingii;5;1;66;4;1;31;5;0;32;6;1;3
Aves;Apodiformes;Trochilidae;Aglaiocercus coelestis;6;1;248;5;0;126;6;1;106;6;1;16
Aves;Apodiformes;Trochilidae;Opisthoprora euryptera;6;0;10;5;0;6;6;0;2;5;0;2
Aves;Apodiformes;Trochilidae;Lesbia victoriae;5;0;7;5;0;4;5;0;2;5;0;1
Aves;Apodiformes;Trochilidae;Ramphomicron microrhynchum;3;0;17;3;0;6;3;0;7;4;0;4
Aves;Apodiformes;Trochilidae;Chalcostigma heteropogon;5;0;26;5;0;7;5;0;15;5;0;4
Aves;Apodiformes;Trochilidae;Chalcostigma herrani;5;1;4;3;0;1;6;0;2;5;0;1
Aves;Apodiformes;Trochilidae;Oxypogon stubelii;6;0;1;;;;6;0;1;;;
Aves;Apodiformes;Trochilidae;Oxypogon guerinii;5;1;6;5;1;3;5;0;3;;;
Aves;Apodiformes;Trochilidae;Metallura tyrianthina;3;0;105;3;0;31;3;0;59;3;0;15
Aves;Apodiformes;Trochilidae;Metallura williami;4;0;5;;;;4;0;3;4;0;2
Aves;Apodiformes;Trochilidae;Haplophaedia aureliae;5;1;110;5;1;17;6;1;20;5;1;73
Aves;Apodiformes;Trochilidae;Haplophaedia lugens;6;0;9;6;0;4;6;0;5;;;
Aves;Apodiformes;Trochilidae;Eriocnemis vestita;5;0;93;4;0;36;5;0;47;5;1;10
Aves;Apodiformes;Trochilidae;Eriocnemis derbyi;5;1;13;5;0;4;6;1;8;5;0;1
Aves;Apodiformes;Trochilidae;Eriocnemis cupreoventris;5;0;21;5;0;6;5;0;12;5;0;3
Aves;Apodiformes;Trochilidae;Eriocnemis mosquera;5;1;5;5;1;3;5;0;2;;;
Aves;Apodiformes;Trochilidae;Eriocnemis aline;3;0;9;;;;3;0;6;4;0;3
Aves;Apodiformes;Trochilidae;Aglaeactis cupripennis;8;1;9;8;1;4;7;0;3;9;1;2
Aves;Apodiformes;Trochilidae;Coeligena coeligena;6;1;254;6;1;32;7;1;13;7;1;209
Aves;Apodiformes;Trochilidae;Coeligena wilsoni;7;0;106;7;0;7;7;0;7;7;0;92
Aves;Apodiformes;Trochilidae;Coeligena prunellei;7;1;13;6;1;4;7;1;8;5;0;1
Aves;Apodiformes;Trochilidae;Coeligena torquata;7;1;121;7;1;43;8;1;65;7;0;13
Aves;Apodiformes;Trochilidae;Coeligena phalerata;6;1;8;5;1;6;6;0;2;;;
Aves;Apodiformes;Trochilidae;Coeligena lutetiae;7;1;12;7;1;4;7;1;4;8;1;4
Aves;Apodiformes;Trochilidae;Coeligena bonapartei;6;0;30;6;0;13;6;0;16;6;0;1
Aves;Apodiformes;Trochilidae;Coeligena helianthea;7;1;47;7;0;23;7;1;21;7;1;3
Aves;Apodiformes;Trochilidae;Lafresnaya lafresnayi;5;1;60;5;1;29;5;0;24;5;1;7
Aves;Apodiformes;Trochilidae;Ensifera ensifera;9;1;8;8;0;2;9;0;5;7;0;1
Aves;Apodiformes;Trochilidae;Pterophanes cyanopterus;10;0;5;;;;10;1;4;10;0;1
Aves;Apodiformes;Trochilidae;Boissonneaua flavescens;8;1;72;8;1;24;8;1;23;8;1;25
Aves;Apodiformes;Trochilidae;Boissonneaua jardini;9;1;16;;;;8;0;1;9;1;15
Aves;Apodiformes;Trochilidae;Ocreatus underwoodii;3;0;69;3;0;31;3;0;34;3;0;4
Aves;Apodiformes;Trochilidae;Urochroa bougueri;11;1;53;9;0;1;11;1;7;11;1;45
Aves;Apodiformes;Trochilidae;Urosticte benjamini;7;0;2;8;0;1;;;;7;0;1
Aves;Apodiformes;Trochilidae;Urosticte ruficrissa;4;0;9;4;0;4;4;0;5;;;
Aves;Apodiformes;Trochilidae;Heliodoxa schreibersii;34;39;3;8;0;1;90;0;1;5;0;1
Aves;Apodiformes;Trochilidae;Heliodoxa aurescens;6;0;9;6;0;5;6;0;4;;;
Aves;Apodiformes;Trochilidae;Heliodoxa rubinoides;8;1;100;7;1;11;8;0;56;8;1;33
Aves;Apodiformes;Trochilidae;Heliodoxa jacula;8;1;48;8;0;24;8;1;18;8;1;6
Aves;Apodiformes;Trochilidae;Heliodoxa imperatrix;9;1;62;9;0;33;9;0;17;9;1;12
Aves;Apodiformes;Trochilidae;Heliodoxa leadbeateri;6;1;47;6;1;14;6;1;14;7;0;19
Aves;Apodiformes;Trochilidae;Sternoclyta cyanopectus;6;2;3;6;2;2;8;0;1;;;
Aves;Apodiformes;Trochilidae;Heliomaster longirostris;7;1;8;7;0;2;7;1;5;7;0;1
Aves;Apodiformes;Trochilidae;Chaetocercus mulsant;3;0;5;4;0;2;4;0;2;3;0;1
Aves;Apodiformes;Trochilidae;Chaetocercus heliodor;3;0;3;;;;3;0;3;;;
Aves;Apodiformes;Trochilidae;Chaetocercus astreans;3;0;8;3;0;6;2;0;2;;;
Aves;Apodiformes;Trochilidae;Calliphlox mitchellii;3;0;1;3;0;1;;;;;;
Aves;Apodiformes;Trochilidae;Chlorostilbon melanorhynchus;3;0;14;3;0;5;3;0;6;3;0;3
Aves;Apodiformes;Trochilidae;Chlorostilbon gibsoni;4;1;18;4;1;7;4;1;9;5;0;2
Aves;Apodiformes;Trochilidae;Chlorostilbon mellisugus;2;0;16;2;0;8;3;0;6;3;0;2
