"RecordType","Sex","Weight","ReferenceW","DifferenceW.RefW","Latitude","Logitude"
"Capture-release","Male",17.6,16.7,0.9,11.122652,-74.087351
"Capture-release","Male",16.4,16.7,-0.3,11.122652,-74.087351
"Capture-release","Male",17.1,16.7,0.4,11.122652,-74.087351
"Capture-release","Undetermined",14.6,16.7,-2.1,11.122652,-74.087351
"Capture-release","Male",16.6,16.7,-0.1,11.122652,-74.087351
"Capture-release","Undetermined",16.8,16.7,0.1,11.122652,-74.087351
"Capture-release","Male",16.5,16.7,-0.2,11.122652,-74.087351
"Capture-release","Undetermined",17.3,16.7,0.6,11.122652,-74.087351
"Capture-release","Male",18.9,16.7,2.2,11.23527,-73.797807
"Capture-release","Undetermined",15.4,16.7,-1.3,11.23527,-73.797807
"Capture-release","Female",16.4,16.7,-0.3,11.23527,-73.797807
"Capture-release","Undetermined",15.2,16.7,-1.5,11.23527,-73.797807
"Capture-release","Undetermined",17.9,16.7,1.2,11.23527,-73.797807
"Capture-release","Undetermined",16.8,16.7,0.1,11.23527,-73.797807
"Capture-release","Undetermined",15.8,16.7,-0.9,11.23527,-73.797807
"Capture-release","Undetermined",16.4,16.7,-0.3,11.23527,-73.797807
"Capture-release","Undetermined",16.9,16.7,0.2,11.23527,-73.797807
"Capture-release","Undetermined",14.5,16.7,-2.2,11.23527,-73.797807
"Capture-release","Undetermined",18,16.7,1.3,11.23527,-73.797807
"Capture-release","Undetermined",17.3,16.7,0.6,11.23527,-73.797807
"Capture-release","Undetermined",17.2,16.7,0.5,11.23527,-73.797807
"Capture-release","Undetermined",16.4,16.7,-0.3,11.23527,-73.797807
"Capture-release","Female",14.7,16.7,-2,11.122652,-74.087351
"Capture-release","Female",15,16.7,-1.7,11.122652,-74.087351
"Capture-release","Male",17.4,16.7,0.7,11.122652,-74.087351
"Capture-release","Male",17.5,16.7,0.8,11.122652,-74.087351
"Capture-release","Undetermined",15.8,16.7,-0.9,11.122652,-74.087351
"Capture-release","Male",16.3,16.7,-0.4,11.122652,-74.087351
"Capture-release","Female",14.9,16.7,-1.8,11.122652,-74.087351
"Capture-release","Male",17.3,16.7,0.6,11.122652,-74.087351
"Capture-release","Female",14.7,16.7,-2,11.122652,-74.087351
"Capture-release","Female",15.5,16.7,-1.2,11.23527,-73.797807
"Capture-release","Male",17.1,16.7,0.4,11.23527,-73.797807
"Capture-release","Female",17.4,16.7,0.7,11.23527,-73.797807
